purchased,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income,name,email
N,F,HS,153708,NaN,N,E,Married,Y,Sales/Service,2Med,Owner,West,6,E,Velvet Latham,Velvet.Latham@mail.com
Y,M,<HS,180320,NaN,N,G,Single,Y,Sales/Service,1Low,,South,2,E,Oscar Brooks,Oscar.Brooks@mail.com
Y,M,Bach,1328230,<=55,Y,C,,Y,Professional,3High,Owner,West,1,F,Jack Cargo,Jack.Cargo@mail.com
Y,F,HS,341715,<=45,Y,E,Married,Y,Blue Collar,3High,Owner,Midwest,1,E,Anita Lanius,Anita.Lanius@mail.com
N,M,Grad,0,<=55,Y,C,Married,Y,Professional,1Low,Renter,Midwest,3,K,David Starr,David.Starr@mail.com
N,F,Bach,360517,<=55,Y,B,,U,Professional,1Low,Owner,West,1,L,Olivia Hernandez,Olivia.Hernandez@mail.com
N,M,Some College,158050,<=35,Y,C,Married,Y,Professional,2Med,Owner,Midwest,2,H,Nathan Wade,Nathan.Wade@mail.com
Y,M,Bach,311347,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,1,K,George Whitney,George.Whitney@mail.com
Y,M,HS,0,<=35,N,G,Single,U,Sales/Service,1Low,,Midwest,6,B,Charles Degenfelder,Charles.Degenfelder@mail.com
Y,M,Bach,158202,<=55,Y,C,Married,Y,Professional,1Low,Owner,South,3,I,Thomas Grace,Thomas.Grace@mail.com
N,F,Bach,704521,<=45,Y,B,Married,Y,Professional,3High,Owner,South,1,L,Jamie Spell,Jamie.Spell@mail.com
N,F,HS,117087,>65,N,F,Married,Y,Retired,1Low,Owner,Midwest,9,A,Jeanne Brassell,Jeanne.Brassell@mail.com
Y,M,Grad,370600,NaN,Y,C,Married,N,Professional,3High,Owner,South,2,J,Charles Honeycutt,Charles.Honeycutt@mail.com
N,F,HS,442540,NaN,N,C,Married,Y,Blue Collar,1Low,,West,1,E,Gayle Sticht,Gayle.Sticht@mail.com
N,U,HS,61149,NaN,Y,D,,N,Sales/Service,1Low,Owner,South,8,B,Colleen Brandt,Colleen.Brandt@mail.com
N,M,HS,0,NaN,N,G,Married,Y,Blue Collar,1Low,Renter,South,8,C,Mark Oneal,Mark.Oneal@mail.com
N,F,HS,88355,<=25,N,G,Married,Y,Sales/Service,1Low,,South,8,D,Jo Messenger,Jo.Messenger@mail.com
Y,F,HS,0,NaN,Y,E,Married,U,Sales/Service,1Low,,Rest,8,B,Alma Chavis,Alma.Chavis@mail.com
Y,M,Some College,952578,<=25,Y,B,,U,Professional,3High,Owner,West,1,L,Michael Edwards,Michael.Edwards@mail.com
Y,F,Bach,270211,<=65,N,B,,U,Professional,1Low,Owner,South,1,F,Janet Hightower,Janet.Hightower@mail.com
Y,U,HS,0,NaN,Y,H,Single,N,Sales/Service,1Low,Renter,South,4,E,Audra Breit,Audra.Breit@mail.com
N,M,Bach,600000,<=45,Y,C,,U,Professional,1Low,Owner,Northeast,1,J,Cesar Hatfield,Cesar.Hatfield@mail.com
N,F,Bach,312109,<=35,Y,A,,N,Professional,1Low,Renter,South,4,F,Shelly Nies,Shelly.Nies@mail.com
N,M,Grad,637507,>65,N,H,,N,Retired,1Low,Renter,South,1,D,John Cox,John.Cox@mail.com
Y,M,Bach,230078,>65,Y,D,Married,N,Retired,1Low,Renter,West,3,D,Max Vanbuskirk,Max.Vanbuskirk@mail.com
Y,M,Grad,0,>65,Y,E,,Y,Retired,1Low,Renter,South,3,L,Jay Gallagher,Jay.Gallagher@mail.com
N,U,HS,271197,NaN,N,F,Married,Y,Sales/Service,1Low,Owner,South,9,F,Julie Cook,Julie.Cook@mail.com
N,M,Some College,115104,<=35,Y,F,Married,U,Sales/Service,1Low,Owner,South,6,F,Leonard Ellis,Leonard.Ellis@mail.com
N,U,Some College,332613,NaN,Y,D,,N,Sales/Service,1Low,Owner,Midwest,3,F,Sharon Okeefe,Sharon.Okeefe@mail.com
Y,F,HS,0,<=35,N,I,Single,Y,Blue Collar,1Low,Owner,Midwest,3,A,Lisa Williams,Lisa.Williams@mail.com
N,F,Bach,184962,NaN,N,E,,N,Professional,1Low,Renter,Midwest,3,D,Kaye Rios,Kaye.Rios@mail.com
N,F,Some College,82731,<=65,Y,I,Married,N,Retired,1Low,Owner,Midwest,4,G,Fannie Ramsey,Fannie.Ramsey@mail.com
N,M,HS,0,>65,N,D,Married,N,Retired,1Low,Owner,South,3,K,Richard Sargent,Richard.Sargent@mail.com
Y,M,HS,250809,>65,Y,E,Married,N,Retired,2Med,Owner,Midwest,2,G,Clyde Hartley,Clyde.Hartley@mail.com
Y,M,<HS,244596,<=55,Y,F,Married,Y,Professional,1Low,Owner,Northeast,2,I,Emil Nelson,Emil.Nelson@mail.com
N,F,HS,0,NaN,N,G,,N,Sales/Service,1Low,,Midwest,9,A,Irene Bess,Irene.Bess@mail.com
Y,M,Bach,255337,<=45,Y,B,Married,Y,Professional,1Low,Renter,Midwest,1,G,Glen Ramos,Glen.Ramos@mail.com
N,M,Bach,210588,>65,Y,D,Married,N,Retired,1Low,Owner,West,3,E,Nathan Mathews,Nathan.Mathews@mail.com
Y,F,Bach,137896,<=55,N,E,Married,U,Professional,1Low,Owner,South,2,E,Susan Roy,Susan.Roy@mail.com
N,M,Some College,0,<=45,Y,C,Married,Y,Blue Collar,1Low,Owner,West,3,F,James Jester,James.Jester@mail.com
N,F,Bach,474109,<=45,N,A,Married,N,Professional,3High,Owner,West,5,F,Darleen Vernon,Darleen.Vernon@mail.com
N,M,Bach,0,<=55,N,G,Single,Y,Sales/Service,1Low,Renter,South,9,A,Alfred Pack,Alfred.Pack@mail.com
Y,F,Some College,460842,NaN,Y,G,Single,Y,Others,1Low,Renter,West,9,B,Pearl Lowe,Pearl.Lowe@mail.com
Y,F,<HS,639504,<=55,Y,B,,Y,Professional,1Low,Owner,South,2,I,Delmy Tamez,Delmy.Tamez@mail.com
Y,M,Some College,241980,<=55,N,J,Married,N,Professional,1Low,Owner,West,1,A,Patrick Ramirez,Patrick.Ramirez@mail.com
Y,M,Some College,200287,<=45,Y,C,Married,Y,Blue Collar,1Low,,Midwest,1,I,John Hernandez,John.Hernandez@mail.com
N,M,HS,160546,<=55,Y,E,,Y,Sales/Service,1Low,Owner,Northeast,7,F,Peter Rico,Peter.Rico@mail.com
N,U,Some College,0,<=45,N,E,Single,N,Blue Collar,1Low,Renter,Northeast,5,D,Huong Pannenbacker,Huong.Pannenbacker@mail.com
N,F,Bach,223798,<=65,Y,B,Married,Y,Professional,1Low,Owner,Northeast,3,F,Angela Klingenberger,Angela.Klingenberger@mail.com
Y,M,Bach,596611,NaN,Y,E,,Y,Others,1Low,Owner,West,2,C,Charlie Westerman,Charlie.Westerman@mail.com
Y,M,Grad,952234,<=55,Y,C,Married,Y,Professional,3High,Owner,South,1,J,Joe Laney,Joe.Laney@mail.com
Y,F,HS,233914,<=45,Y,F,,U,Retired,1Low,Owner,West,7,G,Essie Rhoades,Essie.Rhoades@mail.com
Y,M,Bach,236568,NaN,Y,C,,Y,Sales/Service,1Low,Owner,Northeast,1,G,Leland Galvez,Leland.Galvez@mail.com
Y,M,HS,270974,<=45,N,C,Married,Y,Blue Collar,3High,Owner,Midwest,9,E,Rudolph Carter,Rudolph.Carter@mail.com
N,M,Bach,246100,<=45,N,C,Married,Y,Blue Collar,2Med,Owner,West,1,E,Robert Seagraves,Robert.Seagraves@mail.com
N,M,Some College,895151,<=55,Y,B,,N,Others,3High,Owner,West,2,F,James Mendez,James.Mendez@mail.com
Y,M,Some College,0,<=45,Y,G,Single,Y,Sales/Service,1Low,,Midwest,1,D,Mike Howard,Mike.Howard@mail.com
Y,M,Bach,491808,<=45,Y,B,Single,U,Professional,3High,Owner,Midwest,2,K,Andrew Day,Andrew.Day@mail.com
N,F,Bach,640102,<=65,Y,B,Married,N,Sales/Service,1Low,Owner,Northeast,3,E,Sheron Warner,Sheron.Warner@mail.com
Y,M,Grad,431051,>65,Y,D,Married,N,Professional,1Low,Owner,South,4,E,William Ownbey,William.Ownbey@mail.com
N,F,Grad,1019150,NaN,N,B,Married,N,Professional,1Low,Owner,Northeast,3,H,Tammy Benavides,Tammy.Benavides@mail.com
N,F,HS,62720,<=65,N,H,,N,Sales/Service,1Low,Owner,South,3,D,Gertrude Dorsey,Gertrude.Dorsey@mail.com
N,M,Some College,0,<=35,N,J,,N,Blue Collar,1Low,Owner,South,5,F,Todd Kraham,Todd.Kraham@mail.com
N,F,HS,0,>65,N,F,,N,Retired,1Low,Owner,Northeast,3,B,Ruth Hutto,Ruth.Hutto@mail.com
N,M,Bach,227297,<=65,N,I,Married,N,Sales/Service,1Low,Renter,West,3,B,Roy Griffin,Roy.Griffin@mail.com
Y,F,Grad,337485,<=55,Y,C,Married,N,Professional,2Med,Owner,Midwest,2,D,Cathy Gold,Cathy.Gold@mail.com
N,M,Grad,317789,<=55,N,B,Married,Y,Professional,1Low,Owner,West,1,F,Gene Merced,Gene.Merced@mail.com
N,F,Bach,0,<=65,N,H,,N,Professional,1Low,Renter,South,9,D,Sharon London,Sharon.London@mail.com
Y,F,Bach,355122,<=55,Y,C,Married,Y,Professional,2Med,Owner,Midwest,2,G,Rhea Edmonds,Rhea.Edmonds@mail.com
Y,M,Grad,0,<=45,Y,I,Married,N,Others,1Low,,West,4,D,Rodney Littlefield,Rodney.Littlefield@mail.com
N,M,Some College,529658,<=35,N,F,,Y,Professional,1Low,Renter,West,1,E,Bobby Ares,Bobby.Ares@mail.com
Y,M,<HS,368856,NaN,N,G,Married,Y,Blue Collar,1Low,Renter,Northeast,8,E,Richard Downs,Richard.Downs@mail.com
N,F,HS,185485,<=65,Y,E,Married,Y,Others,1Low,Owner,West,6,E,Dawn Thompson,Dawn.Thompson@mail.com
Y,F,Bach,381783,<=65,Y,B,Married,N,Professional,1Low,Owner,Midwest,1,J,Lauren Jacobsen,Lauren.Jacobsen@mail.com
N,F,Bach,179032,<=45,N,E,,Y,Sales/Service,1Low,Owner,West,8,F,Patricia Ballou,Patricia.Ballou@mail.com
N,M,Grad,1543658,<=45,Y,E,Married,Y,Professional,3High,Owner,Northeast,1,B,Brad Rickey,Brad.Rickey@mail.com
Y,M,,704521,NaN,Y,B,,N,Others,1Low,Owner,Northeast,2,A,Jeffrey Worth,Jeffrey.Worth@mail.com
N,F,HS,159140,NaN,Y,J,Married,Y,Sales/Service,1Low,,Northeast,3,D,Marsha Wood,Marsha.Wood@mail.com
Y,M,Some College,212266,<=55,Y,E,Married,Y,Sales/Service,1Low,Owner,Midwest,1,I,Howard Martin,Howard.Martin@mail.com
Y,M,Some College,399267,<=45,Y,C,Married,Y,Blue Collar,3High,Owner,West,1,G,John Pfeiffer,John.Pfeiffer@mail.com
N,F,Some College,273372,NaN,Y,B,Married,Y,Professional,1Low,,South,1,H,Bonnie Fitzwater,Bonnie.Fitzwater@mail.com
N,M,Some College,182302,<=65,N,I,Married,N,Sales/Service,1Low,Owner,Northeast,4,A,William Austin,William.Austin@mail.com
N,F,<HS,64438,NaN,N,G,Single,U,Sales/Service,1Low,Renter,South,9,C,Paula Schneider,Paula.Schneider@mail.com
N,M,HS,329806,>65,Y,C,,Y,Retired,2Med,Owner,South,2,E,Martin Chambers,Martin.Chambers@mail.com
Y,F,Some College,285242,<=55,Y,E,Married,U,Professional,1Low,Owner,South,2,F,Mildred Cheek,Mildred.Cheek@mail.com
Y,M,Bach,230037,NaN,Y,A,Married,Y,Sales/Service,1Low,Renter,South,1,F,Thomas Puckett,Thomas.Puckett@mail.com
N,F,Bach,258199,<=45,Y,A,Single,Y,Sales/Service,1Low,Owner,West,2,E,Isabel Davis,Isabel.Davis@mail.com
N,M,Some College,73117,NaN,N,J,,Y,Blue Collar,1Low,Owner,Northeast,2,E,James Solis,James.Solis@mail.com
Y,M,Some College,0,NaN,N,G,Single,U,Sales/Service,1Low,Renter,South,9,F,Michael Pellerin,Michael.Pellerin@mail.com
Y,M,Grad,978602,<=65,Y,B,Married,N,Professional,2Med,Owner,South,1,G,Brady Moore,Brady.Moore@mail.com
N,F,Some College,257512,<=55,N,C,Married,U,Professional,1Low,Owner,South,6,I,Tashina Gilbert,Tashina.Gilbert@mail.com
N,M,Bach,193453,<=35,Y,F,Single,U,Professional,1Low,,West,1,A,Richard Lewis,Richard.Lewis@mail.com
N,M,Some College,190106,<=35,N,C,Married,Y,Professional,2Med,Owner,South,3,J,Tony Chisholm,Tony.Chisholm@mail.com
Y,M,Some College,0,<=35,N,E,Single,U,Professional,1Low,,Rest,5,H,John Obiesie,John.Obiesie@mail.com
N,F,Bach,258199,<=65,N,E,Married,N,Professional,1Low,,West,3,F,Rose Weidner,Rose.Weidner@mail.com
Y,M,Bach,0,<=55,Y,B,,N,Professional,1Low,Renter,South,3,J,Carlos Welch,Carlos.Welch@mail.com
Y,U,Bach,582221,<=35,Y,B,,Y,Professional,1Low,Owner,Northeast,1,L,Glenda Golden,Glenda.Golden@mail.com
Y,F,Some College,200892,<=65,N,F,Married,U,Sales/Service,1Low,Owner,South,1,E,Jillian Isom,Jillian.Isom@mail.com
N,M,<HS,0,NaN,N,G,,Y,Farm,1Low,Owner,South,6,D,Samuel Briggs,Samuel.Briggs@mail.com
Y,M,Bach,237620,>65,Y,D,Married,N,Professional,1Low,Owner,South,1,E,Adam Payne,Adam.Payne@mail.com
N,F,Bach,107583,<=35,N,E,Single,Y,Sales/Service,1Low,Renter,South,8,D,Deloris Mccready,Deloris.Mccready@mail.com
N,F,Bach,1271200,<=45,Y,B,,Y,Professional,1Low,,Northeast,1,A,Robin Pierre,Robin.Pierre@mail.com
N,M,<HS,160624,<=65,Y,E,Married,U,Professional,1Low,,South,6,C,John Helfrich,John.Helfrich@mail.com
Y,M,Grad,745342,<=45,Y,C,Married,Y,Professional,3High,Owner,Northeast,1,K,Michael Curtis,Michael.Curtis@mail.com
Y,M,Grad,352980,>65,Y,B,,Y,Retired,1Low,Owner,Midwest,1,L,Toby Klatt,Toby.Klatt@mail.com
N,F,Bach,615196,<=35,Y,E,,N,Professional,3High,Owner,Northeast,1,H,Heidi Tseng,Heidi.Tseng@mail.com
Y,F,HS,138446,<=35,Y,E,,N,Professional,1Low,Owner,West,1,E,Desiree Piatt,Desiree.Piatt@mail.com
N,F,Some College,89625,<=25,Y,D,,Y,Blue Collar,1Low,Owner,South,2,B,Melissa Jimenez,Melissa.Jimenez@mail.com
Y,F,Bach,0,NaN,Y,G,Single,N,Sales/Service,1Low,,Midwest,9,C,Karin Tomas,Karin.Tomas@mail.com
N,F,Bach,256760,<=55,Y,E,,U,Professional,2Med,Owner,West,1,E,Virginia Lafave,Virginia.Lafave@mail.com
Y,M,,222496,NaN,Y,H,,N,Others,1Low,Owner,Northeast,2,D,Edward Rodrigues,Edward.Rodrigues@mail.com
N,M,Bach,265295,<=65,Y,B,Married,N,Sales/Service,1Low,Owner,South,1,C,Nelson Booth,Nelson.Booth@mail.com
Y,M,,315882,NaN,Y,E,,N,Others,2Med,Owner,Northeast,2,B,Daniel Billings,Daniel.Billings@mail.com
N,U,Some College,192712,<=55,N,B,Married,N,Professional,1Low,Owner,South,2,E,Anna Cloyd,Anna.Cloyd@mail.com
N,M,HS,0,<=55,N,G,,Y,Sales/Service,1Low,Renter,West,7,A,Joseph Garcia,Joseph.Garcia@mail.com
Y,M,Bach,350925,<=35,Y,B,,N,Professional,1Low,Owner,South,4,G,Eric Thornton,Eric.Thornton@mail.com
Y,M,Some College,423465,<=55,Y,B,Married,N,Professional,2Med,Owner,West,2,G,Gary Keegan,Gary.Keegan@mail.com
N,F,HS,386950,NaN,N,E,Single,Y,Sales/Service,1Low,Renter,West,8,F,Kimberly Toney,Kimberly.Toney@mail.com
Y,F,Bach,292283,<=55,Y,B,Married,U,Others,2Med,Owner,West,1,D,Ester Norman,Ester.Norman@mail.com
N,F,HS,302998,NaN,Y,B,,N,Retired,2Med,Owner,South,1,K,Kyong Hites,Kyong.Hites@mail.com
Y,M,Grad,547103,NaN,N,A,Single,U,Professional,1Low,Renter,West,8,E,William Martin,William.Martin@mail.com
Y,F,Grad,452262,<=55,Y,B,Married,Y,Professional,2Med,Owner,West,5,I,Eloise Davis,Eloise.Davis@mail.com
N,F,Some College,154082,>65,Y,D,,N,Retired,1Low,Owner,Northeast,4,A,Claudette Pare,Claudette.Pare@mail.com
Y,M,Grad,432457,<=55,Y,C,Married,U,Professional,2Med,Owner,Northeast,2,K,Tony Roux,Tony.Roux@mail.com
N,F,Some College,79744,<=35,N,B,,N,Sales/Service,1Low,Owner,Midwest,3,H,Tona Williams,Tona.Williams@mail.com
N,M,Bach,586080,<=35,Y,B,Single,Y,Professional,1Low,Owner,Northeast,1,J,Anthony Cheung,Anthony.Cheung@mail.com
Y,F,<HS,451445,<=65,Y,E,Married,N,Blue Collar,2Med,Owner,South,3,E,Mary Hacker,Mary.Hacker@mail.com
Y,M,Some College,1459074,<=35,Y,E,,Y,Professional,1Low,Renter,Northeast,1,J,Ronnie Khauv,Ronnie.Khauv@mail.com
N,M,<HS,156327,<=45,Y,E,Married,Y,Professional,1Low,Owner,South,1,H,James Chitwood,James.Chitwood@mail.com
Y,M,HS,185095,<=35,Y,C,Married,Y,Sales/Service,2Med,Owner,South,1,G,Jack Bell,Jack.Bell@mail.com
N,M,Bach,346603,<=65,N,B,Married,N,Professional,2Med,Owner,West,2,G,Norman Johnson,Norman.Johnson@mail.com
N,F,HS,567508,>65,N,E,,U,Retired,2Med,Owner,West,4,F,Barbara Kazanjian,Barbara.Kazanjian@mail.com
N,F,Bach,0,>65,Y,H,,N,Retired,1Low,,Northeast,5,C,Evelyn Trimpe,Evelyn.Trimpe@mail.com
Y,F,HS,0,<=35,N,A,Single,U,Blue Collar,1Low,Owner,Midwest,3,G,Song Obrien,Song.Obrien@mail.com
N,M,HS,145809,NaN,Y,J,Single,U,Blue Collar,1Low,,Midwest,9,C,Eric Sane,Eric.Sane@mail.com
N,M,,151095,NaN,N,G,,Y,Others,1Low,Renter,Midwest,9,B,Michael Nunez,Michael.Nunez@mail.com
Y,M,HS,0,NaN,Y,A,Married,U,Sales/Service,1Low,,Midwest,8,E,Chester Blackwell,Chester.Blackwell@mail.com
N,M,HS,178193,<=65,N,B,,N,Sales/Service,1Low,Owner,South,2,E,Travis Lipscomb,Travis.Lipscomb@mail.com
N,M,Some College,0,<=45,Y,E,Married,Y,Sales/Service,1Low,Renter,Midwest,7,B,Benjamin Spicher,Benjamin.Spicher@mail.com
Y,M,<HS,154180,<=55,Y,I,Married,N,Blue Collar,1Low,Owner,South,8,D,Michael Spencer,Michael.Spencer@mail.com
N,M,Bach,465484,>65,N,B,Married,Y,Retired,1Low,Owner,West,1,G,Jerry Goe,Jerry.Goe@mail.com
Y,F,Some College,635589,<=35,Y,E,,U,Professional,1Low,,Northeast,1,G,Michelle Green,Michelle.Green@mail.com
Y,M,Bach,567083,<=55,Y,C,Married,Y,Sales/Service,3High,Owner,Midwest,1,L,Paul Caldwell,Paul.Caldwell@mail.com
N,M,Bach,465648,NaN,Y,C,,Y,Others,3High,Owner,Northeast,1,K,Timothy Glidden,Timothy.Glidden@mail.com
N,F,Grad,162322,>65,Y,D,Married,N,Retired,1Low,Owner,Midwest,2,E,Jill Chin,Jill.Chin@mail.com
Y,F,HS,803330,<=25,N,B,,U,Sales/Service,1Low,Owner,West,7,G,Ashley Lazewski,Ashley.Lazewski@mail.com
N,F,<HS,62720,NaN,N,G,,N,Sales/Service,1Low,,South,5,A,Juanita Wenzel,Juanita.Wenzel@mail.com
N,M,HS,217075,>65,N,D,Married,N,Retired,1Low,Renter,South,8,F,Carroll Salas,Carroll.Salas@mail.com
N,F,HS,58947,<=35,Y,I,,N,Blue Collar,1Low,Owner,South,3,D,Paula Baird,Paula.Baird@mail.com
Y,M,HS,109000,<=65,Y,C,,Y,Sales/Service,1Low,Owner,South,2,E,Charles Guerrero,Charles.Guerrero@mail.com
N,F,Bach,136914,<=65,N,I,Married,N,Sales/Service,1Low,Owner,South,5,E,Penny Ritchie,Penny.Ritchie@mail.com
N,F,Bach,144534,<=35,Y,J,Married,Y,Professional,1Low,Owner,Midwest,8,F,Rosetta Smith,Rosetta.Smith@mail.com
N,F,HS,133481,>65,N,D,Married,N,Retired,1Low,Owner,Midwest,7,D,Melanie Eckman,Melanie.Eckman@mail.com
Y,M,Bach,1059044,<=45,Y,C,Married,Y,Sales/Service,3High,Owner,West,1,K,Dion Dawson,Dion.Dawson@mail.com
N,M,<HS,0,NaN,N,E,Married,Y,Blue Collar,1Low,,Midwest,9,K,James Silver,James.Silver@mail.com
N,M,HS,0,<=55,N,F,Married,Y,Blue Collar,1Low,Owner,South,3,D,Joseph Gentry,Joseph.Gentry@mail.com
Y,M,<HS,436000,>65,Y,D,Married,N,Retired,1Low,Owner,Northeast,2,F,David Garcia,David.Garcia@mail.com
Y,F,Bach,311958,<=55,Y,D,Married,U,Professional,2Med,Owner,West,3,F,Kenya Mounts,Kenya.Mounts@mail.com
Y,M,Some College,156469,<=45,N,F,Married,Y,Blue Collar,1Low,Owner,West,8,C,Theodore Hayward,Theodore.Hayward@mail.com
Y,M,Some College,596611,<=55,Y,C,Married,N,Professional,2Med,Owner,West,3,F,Michael Mcclendon,Michael.Mcclendon@mail.com
N,F,Some College,116412,<=35,N,G,Single,U,Professional,1Low,,West,7,D,Kay Ibarra,Kay.Ibarra@mail.com
Y,M,Some College,393490,<=35,Y,I,,N,Sales/Service,3High,Owner,West,1,F,Rodolfo Parker,Rodolfo.Parker@mail.com
N,M,HS,7194,<=45,N,J,Married,N,Blue Collar,1Low,Owner,Northeast,6,C,Ronald Bohr,Ronald.Bohr@mail.com
N,M,HS,0,NaN,Y,I,,N,Others,1Low,Renter,South,8,B,Dale Carter,Dale.Carter@mail.com
Y,M,Some College,485660,<=65,Y,C,Married,U,Professional,1Low,Owner,West,1,C,Bill Cunningham,Bill.Cunningham@mail.com
Y,F,Some College,360790,<=45,Y,C,Married,Y,Sales/Service,3High,Owner,South,1,I,Rebecca Tucker,Rebecca.Tucker@mail.com
Y,F,Some College,314097,<=65,Y,B,Married,U,Sales/Service,2Med,Owner,Northeast,1,C,Meghan Armstrong,Meghan.Armstrong@mail.com
N,F,Some College,333760,<=65,Y,E,Married,Y,Professional,1Low,Renter,South,2,H,Malissa Marlett,Malissa.Marlett@mail.com
Y,M,Grad,93522,<=35,Y,G,Married,U,Sales/Service,1Low,Owner,South,4,K,Kevin Palmer,Kevin.Palmer@mail.com
Y,F,<HS,161372,>65,N,E,Married,N,Retired,2Med,Owner,South,6,E,Christian Grove,Christian.Grove@mail.com
N,F,<HS,393871,>65,Y,B,Married,N,Retired,1Low,Owner,South,1,K,Louise Bellows,Louise.Bellows@mail.com
Y,M,Bach,0,<=35,Y,A,Single,U,Professional,1Low,Owner,Northeast,3,F,Edwin Tomlin,Edwin.Tomlin@mail.com
N,M,Some College,0,NaN,N,G,,U,Sales/Service,1Low,,South,3,E,Cecil Quan,Cecil.Quan@mail.com
N,F,Some College,323969,<=25,N,E,Married,Y,Professional,1Low,Owner,Midwest,2,G,Rachel Mccormack,Rachel.Mccormack@mail.com
Y,M,Grad,269698,<=35,Y,B,,N,Professional,1Low,Owner,South,1,F,Ramon Giles,Ramon.Giles@mail.com
N,F,<HS,0,NaN,N,H,Single,N,Sales/Service,1Low,Renter,South,8,A,Tanya Lynch,Tanya.Lynch@mail.com
N,F,Some College,1000000,NaN,N,G,Single,Y,Retired,1Low,,South,5,C,Maria Janda,Maria.Janda@mail.com
N,F,HS,0,<=55,Y,B,,N,Sales/Service,1Low,Owner,Northeast,3,F,Nancy Curling,Nancy.Curling@mail.com
N,M,Some College,313920,<=65,N,D,Single,N,Professional,1Low,Owner,Northeast,1,B,Andre Geer,Andre.Geer@mail.com
Y,M,Grad,191840,<=45,Y,C,Married,Y,Professional,1Low,Owner,South,2,F,Amos Osterman,Amos.Osterman@mail.com
Y,M,Grad,1160152,<=65,Y,B,Married,N,Professional,1Low,Owner,West,1,L,Herbert Smoot,Herbert.Smoot@mail.com
Y,M,Bach,0,<=55,Y,C,Married,U,Sales/Service,1Low,,South,7,F,Thomas Baker,Thomas.Baker@mail.com
N,M,HS,173440,<=55,Y,E,Married,U,Blue Collar,1Low,Owner,Midwest,4,F,James Riffel,James.Riffel@mail.com
Y,M,Bach,104411,<=65,Y,F,Married,Y,Blue Collar,1Low,Owner,Midwest,8,D,Timothy Morton,Timothy.Morton@mail.com
Y,M,HS,217945,<=45,N,C,Married,Y,Blue Collar,3High,Owner,West,1,F,Burt Revering,Burt.Revering@mail.com
N,F,Bach,0,<=45,N,D,Married,N,Sales/Service,1Low,Owner,South,4,A,Cheri Appleby,Cheri.Appleby@mail.com
N,F,HS,199361,<=55,Y,I,Married,N,Sales/Service,1Low,Owner,South,8,F,Elsie Turnmire,Elsie.Turnmire@mail.com
N,F,HS,178509,<=55,Y,E,,U,Blue Collar,2Med,Owner,South,3,E,Yvette Brown,Yvette.Brown@mail.com
N,F,HS,117981,<=65,N,I,Single,N,Sales/Service,1Low,Owner,West,5,B,Susan Keith,Susan.Keith@mail.com
Y,F,HS,0,<=55,N,G,,U,Sales/Service,1Low,Renter,South,7,B,Jennifer Dale,Jennifer.Dale@mail.com
Y,M,Some College,1695168,NaN,Y,B,Married,U,Professional,3High,Owner,West,1,H,Franklin Moss,Franklin.Moss@mail.com
Y,M,Some College,543038,<=55,Y,C,Married,Y,Sales/Service,3High,Owner,South,1,J,Brandon Luna,Brandon.Luna@mail.com
N,M,Bach,228037,<=45,Y,J,Married,Y,Others,1Low,Renter,South,8,G,Bruce Lee,Bruce.Lee@mail.com
N,U,Some College,0,NaN,N,E,,U,Sales/Service,1Low,Renter,South,9,E,Sarah Butler,Sarah.Butler@mail.com
Y,M,Some College,403812,<=55,Y,I,Married,N,Professional,1Low,Owner,West,2,E,Ronald Day,Ronald.Day@mail.com
Y,M,HS,0,NaN,N,G,Single,U,Others,1Low,Renter,Rest,9,C,James Coppage,James.Coppage@mail.com
N,M,Bach,216310,<=35,N,F,,Y,Blue Collar,1Low,Owner,South,8,F,Derek Delatorre,Derek.Delatorre@mail.com
N,M,,0,<=35,Y,F,,N,Blue Collar,1Low,Renter,South,4,E,Jose Harrison,Jose.Harrison@mail.com
Y,F,Grad,516585,<=55,Y,A,Single,Y,Sales/Service,1Low,,West,1,D,Jacqueline Baker,Jacqueline.Baker@mail.com
Y,M,Bach,0,NaN,Y,A,Married,N,Sales/Service,1Low,Owner,West,2,B,Brad Callaway,Brad.Callaway@mail.com
N,F,Grad,338172,<=45,Y,E,,Y,Professional,1Low,Owner,Northeast,3,G,Mable Tineo,Mable.Tineo@mail.com
N,F,Some College,0,<=25,Y,G,,Y,Sales/Service,1Low,Renter,Midwest,2,D,Tiffany Reiher,Tiffany.Reiher@mail.com
Y,M,Some College,0,<=35,N,G,Single,N,Blue Collar,1Low,Renter,West,4,D,Thomas Brown,Thomas.Brown@mail.com
N,M,Grad,1046400,<=55,Y,C,Married,Y,Professional,3High,Owner,West,1,E,Ronald Kertis,Ronald.Kertis@mail.com
Y,M,Grad,234404,<=55,Y,C,Married,Y,Professional,1Low,Owner,West,2,H,Danny Fagan,Danny.Fagan@mail.com
Y,F,Bach,795569,<=45,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,G,Dorothy Labrum,Dorothy.Labrum@mail.com
Y,F,Grad,210915,<=55,N,B,Married,N,Retired,1Low,Owner,South,2,F,Melissa Senno,Melissa.Senno@mail.com
Y,M,Grad,2019316,<=55,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,K,Leroy Douglas,Leroy.Douglas@mail.com
